plan_id,source_type,source_id,role,evidence_type,confidence,source_line
26,transcript,transcript-2026-04-30-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
27,transcript,transcript-2026-04-30-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-30-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-30-2-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-30-2-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-05-01-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-05-01-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-05-02-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-05-02-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-05-02-2-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-05-02-2-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-05-03-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-05-03-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-05-03-2-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-05-03-2-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-05-04-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-05-04-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-05-07-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-05-07-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-05-10-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-05-10-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
28,transcript,transcript-2026-05-12-1-28-AddSwiftTagUseDocumentation,header-reference,exact-reference,1.0,4
28,transcript,transcript-2026-05-12-1-28-AddSwiftTagUseDocumentation,filename-reference,plan-number,0.8,1
28,transcript,transcript-2026-05-13-1-28-AddSwiftTagUseDocumentation,header-reference,exact-reference,1.0,4
28,transcript,transcript-2026-05-13-1-28-AddSwiftTagUseDocumentation,filename-reference,plan-number,0.8,1
29,transcript,transcript-2026-05-15-1-29-AddSandboxSettings,header-reference,exact-reference,1.0,4
29,transcript,transcript-2026-05-15-1-29-AddSandboxSettings,filename-reference,plan-number,0.8,1
28,transcript,transcript-2026-05-18-1-28-AddSwiftTagUseDocumentation,header-reference,exact-reference,1.0,4
28,transcript,transcript-2026-05-18-1-28-AddSwiftTagUseDocumentation,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-05-20-1-MakePictureFix,header-reference,exact-reference,1.0,4
28,transcript,transcript-2026-05-20-2-28-AddSwiftTagUseDocumentation,header-reference,exact-reference,1.0,4
28,transcript,transcript-2026-05-20-2-28-AddSwiftTagUseDocumentation,filename-reference,plan-number,0.8,1
30,transcript,transcript-2026-06-15-1-30-AutoUpdateTrackTotalByDisc,header-reference,exact-reference,1.0,4
30,transcript,transcript-2026-06-15-1-30-AutoUpdateTrackTotalByDisc,filename-reference,plan-number,0.8,1
31,transcript,transcript-2026-06-16-1-31-AddTrackSortAndNumbering,header-reference,exact-reference,1.0,4
31,transcript,transcript-2026-06-16-1-31-AddTrackSortAndNumbering,filename-reference,plan-number,0.8,1
32,transcript,transcript-2026-06-17-1-32-AutoUpdateDiscTotal,header-reference,exact-reference,1.0,4
32,transcript,transcript-2026-06-17-1-32-AutoUpdateDiscTotal,filename-reference,plan-number,0.8,1
33,transcript,transcript-2026-06-18-1-33-AddTrackFileRename,header-reference,exact-reference,1.0,4
33,transcript,transcript-2026-06-18-1-33-AddTrackFileRename,filename-reference,plan-number,0.8,1
