documentation_id,path,title,heading_text,link_count,line_count,linked_theme_ids,linked_commit_ids
docs-userdocumentation-automation-applescript-tag-html,Docs/UserDocumentation/automation/applescript-tag.html,AppleScript Tag Class - SwiftTag Documentation,AppleScript tag class; Definition; Access; Properties; Examples,19,165,[],[]
docs-userdocumentation-automation-applescript-track-html,Docs/UserDocumentation/automation/applescript-track.html,AppleScript Track Class - SwiftTag Documentation,AppleScript track class; Definition; Access; Elements; Properties; Responds To; Examples,28,613,[],[]
docs-userdocumentation-automation-applescript-windows-html,Docs/UserDocumentation/automation/applescript-windows.html,AppleScript Window Classes - SwiftTag Documentation,AppleScript window classes; window; window Properties; settings window; settings window Responds To; editor window; editor window Elements; editor window Properties; editor window Responds To; Examples,29,419,[],[]
docs-userdocumentation-automation-applescript-html,Docs/UserDocumentation/automation/applescript.html,AppleScript - SwiftTag Documentation,AppleScript overview; Object Model; Core Commands,36,84,"[""applescript""]",[]
docs-userdocumentation-examples-batch-edit-tags-html,Docs/UserDocumentation/examples/batch-edit-tags.html,Batch Edit Tags - SwiftTag Documentation,Batch edit tags; Multi-track edit via UI; Multi-track edit via AppleScript,23,86,[],[]
docs-userdocumentation-examples-clean-up-album-html,Docs/UserDocumentation/examples/clean-up-album.html,Examples - SwiftTag Documentation,Clean-up/update an album; More Examples,20,58,[],[]
docs-userdocumentation-examples-create-session-document-html,Docs/UserDocumentation/examples/create-session-document.html,Create Session Document - SwiftTag Documentation,Create a session document; Creating/Saving via UI; Creating/Saving via AppleScript,17,61,"[""swifttag-document""]",[]
docs-userdocumentation-examples-manage-cover-art-html,Docs/UserDocumentation/examples/manage-cover-art.html,Manage Pictures/Album Art - SwiftTag Documentation,"Manage Pictures/Album Art; Open Picture Browser; Import And Export Pictures; Edit Picture Description; Pin Pictures To Tracks And Slots; Navigate, Remove, And Save; AppleScript",17,182,"[""picture""]",[]
docs-userdocumentation-examples-re-tag-with-applescript-html,Docs/UserDocumentation/examples/re-tag-with-applescript.html,Re-tag with AppleScript - SwiftTag Documentation,Re-tag with AppleScript,15,157,"[""applescript""]",[]
docs-userdocumentation-index-html,Docs/UserDocumentation/index.html,SwiftTag Documentation,SwiftTag FLAC metadata editor; Workflow Reference; More; AppleScript; Examples; Troubleshooting,22,81,[],[]
docs-userdocumentation-quick-start-html,Docs/UserDocumentation/quick-start.html,Quick Start - SwiftTag Documentation,Basic SwiftTag workflow,34,117,[],[]
docs-userdocumentation-release-information-html,Docs/UserDocumentation/release-information.html,Release Information - SwiftTag Documentation,SwiftTag Release Information; codesign; spctl; Cardano: Verify Signed Message,18,140,[],[]
docs-userdocumentation-troubleshooting-html,Docs/UserDocumentation/troubleshooting.html,Troubleshooting - SwiftTag Documentation,"Common fixes; FLAC file missing, renamed, or moved; Cannot save due to lock state; Save affected more or fewer tracks than expected; Album art did not propagate as expected; AppleScript automation prompts; AppleScript and app sandboxing",18,61,[],[]
docs-userdocumentation-workflows-adding-flac-files-html,Docs/UserDocumentation/workflows/adding-flac-files.html,Add FLAC Files - SwiftTag Documentation,Add FLAC files; Menu Commands; Drag And Drop; Read-Only Import; File Access,13,117,[],[]
docs-userdocumentation-workflows-pictures-html,Docs/UserDocumentation/workflows/pictures.html,Pictures/Album Art - SwiftTag Documentation,Pictures/Album Art; Front Cover Quick Edit; Picture Browser; Picture Metadata; Per-Track Records; Propagation Settings,18,141,"[""picture""]",[]
docs-userdocumentation-workflows-saving-html,Docs/UserDocumentation/workflows/saving.html,Save Changes - SwiftTag Documentation,"Save changes; Save Commands; Scope And Payload; Preserve, Replace, Remove; Save Feedback",23,124,"[""save""]",[]
docs-userdocumentation-workflows-settings-html,Docs/UserDocumentation/workflows/settings.html,Settings - SwiftTag Documentation,Settings; General; SwiftTag Sandbox Paths; Tags; Value Preferences; Key Preferences; Track Total and Compilation Management; Picture Management; Feedback; Window Management; Diff Color Preferences,44,348,"[""settings""]",[]
docs-userdocumentation-workflows-status-and-diffs-html,Docs/UserDocumentation/workflows/status-and-diffs.html,Status And Diffs - SwiftTag Documentation,Status and diffs; Diff Formatting; Picture Status Text,20,164,"[""diff""]",[]
docs-userdocumentation-workflows-swifttag-documents-html,Docs/UserDocumentation/workflows/swifttag-documents.html,SwiftTag Documents - SwiftTag Documentation,SwiftTag documents; Possible Use Cases; Creating and Saving; Settings; What Gets Stored,18,120,"[""swifttag-document""]",[]
docs-userdocumentation-workflows-tags-html,Docs/UserDocumentation/workflows/tags.html,Tags - SwiftTag Documentation,Tags; Album Section; Track Table; Track File Rename; Core Tags; Misc Tags; Multi-Selection,27,187,"[""tags""]",[]
